LABO,DEPARTEMENT,NB TOTAL CONVENTIONS + AVANTAGES,NB CONVENTIONS,NB AVANTAGES,MONTANT AVANTAGES
ARAIRCHAR,51,9,0,9,2600
ARAIRCHAR,08,9,1,8,3540
PHARMATERA,34,77,0,77,2528
PHARMATERA,73,33,0,33,1018
PHARMATERA,80,28,0,28,488
PHARMATERA,40,34,0,34,892
PHARMATERA,18,45,0,45,1379
PHARMATERA,68,109,0,109,2918
PHARMATERA,07,9,0,9,214
PHARMATERA,83,56,0,56,1321
PHARMATERA,79,2,0,2,90
PHARMATERA,06,81,0,81,2114
PHARMATERA,82,12,0,12,273
PHARMATERA,74,19,0,19,717
PHARMATERA,75,158,0,158,4354
PHARMATERA,94,55,0,55,1591
PHARMATERA,38,155,0,155,3811
PHARMATERA,77,85,0,85,2527
PHARMATERA,60,16,0,16,595
PHARMATERA,36,16,0,16,395
PHARMATERA,81,54,0,54,1891
PHARMATERA,14,45,0,45,1253
PHARMATERA,71,8,0,8,217
PHARMATERA,84,35,0,35,844
PHARMATERA,05,4,0,4,75
PHARMATERA,22,5,0,5,213
PHARMATERA,78,59,0,59,1557
PHARMATERA,76,105,0,105,2525
PHARMATERA,85,3,0,3,108
PHARMATERA,17,38,0,38,1141
PHARMATERA,30,6,0,6,201
PHARMATERA,45,144,0,144,3494
PHARMATERA,10,1,0,1,31
PHARMATERA,46,16,0,16,312
PHARMATERA,87,3,0,3,128
PHARMATERA,92,78,0,78,1742
PHARMATERA,98,8,0,8,104
PHARMATERA,89,12,0,12,199
PHARMATERA,47,8,0,8,311
PHARMATERA,91,36,0,36,1184
PHARMATERA,93,46,0,46,1324
PHARMATERA,54,15,0,15,412
PHARMATERA,21,22,0,22,530
PHARMATERA,62,98,0,98,2656
PHARMATERA,65,38,0,38,982
PHARMATERA,59,149,0,149,3665
PHARMATERA,63,24,0,24,711
PHARMATERA,69,192,0,192,5069
PHARMATERA,16,7,0,7,273
PHARMATERA,41,42,0,42,960
PHARMATERA,39,7,0,7,193
PHARMATERA,31,190,0,190,5277
PHARMATERA,57,5,0,5,141
PHARMATERA,12,8,0,8,184
PHARMATERA,42,8,0,8,140
PHARMATERA,29,15,0,15,265
PHARMATERA,02,3,0,3,30
PHARMATERA,35,42,0,42,1069
PHARMATERA,32,6,0,6,199
PHARMATERA,33,171,0,171,5651
PHARMATERA,26,58,0,58,1475
PHARMATERA,44,119,0,119,3231
PHARMATERA,25,4,0,4,195
PHARMATERA,66,9,0,9,128
PHARMATERA,51,7,0,7,331
PHARMATERA,37,77,0,77,2517
PHARMATERA,67,57,0,57,1559
PHARMATERA,64,71,0,71,2052
PHARMATERA,90,3,0,3,182
PHARMATERA,28,3,0,3,42
PHARMATERA,24,7,0,7,166
PHARMATERA,13,168,0,168,4283
PHARMATERA,88,5,0,5,121
PHARMATERA,27,21,0,21,575
PHARMATERA,95,103,0,103,4141
PHARMATERA,49,3,0,3,64
PHARMATERA,86,4,0,4,52
OSTEAL MEDICAL,39,18,0,18,4904
OSTEAL MEDICAL,72,13,0,13,5026
OSTEAL MEDICAL,41,2,0,2,671
OSTEAL MEDICAL,69,7,0,7,98
OSTEAL MEDICAL,77,2,0,2,265
OSTEAL MEDICAL,71,6,0,6,556
OSTEAL MEDICAL,14,30,0,30,12157
OSTEAL MEDICAL,56,3,0,3,356
OSTEAL MEDICAL,57,2,0,2,63
OSTEAL MEDICAL,61,1,0,1,60
OSTEAL MEDICAL,34,5,0,5,86
OSTEAL MEDICAL,50,3,0,3,3460
OSTEAL MEDICAL,73,1,0,1,14
OSTEAL MEDICAL,75,115,0,115,58621
OSTEAL MEDICAL,94,71,0,71,11526
OSTEAL MEDICAL,06,3,0,3,42
OSTEAL MEDICAL,63,30,0,30,10330
OSTEAL MEDICAL,15,5,0,5,1526
OSTEAL MEDICAL,59,11,0,11,3259
OSTEAL MEDICAL,92,55,0,55,12325
OSTEAL MEDICAL,28,9,0,9,1795
OSTEAL MEDICAL,87,3,0,3,3460
OSTEAL MEDICAL,37,4,0,4,1075
OSTEAL MEDICAL,67,9,0,9,198
OSTEAL MEDICAL,51,10,0,10,204
OSTEAL MEDICAL,52,5,0,5,473
OSTEAL MEDICAL,49,17,0,17,8806
OSTEAL MEDICAL,86,7,0,7,2847
OSTEAL MEDICAL,54,8,0,8,176
OSTEAL MEDICAL,93,10,0,10,2939
OSTEAL MEDICAL,95,2,0,2,49
OSTEAL MEDICAL,91,3,0,3,130
OSTEAL MEDICAL,17,5,0,5,3223
OSTEAL MEDICAL,33,2,0,2,64
OSTEAL MEDICAL,78,10,0,10,5745
OSTEAL MEDICAL,35,2,0,2,819
OSTEAL MEDICAL,76,22,0,22,2694
OSTEAL MEDICAL,97,2,0,2,1505
OSTEAL MEDICAL,29,59,0,59,17147
OSTEAL MEDICAL,22,15,0,15,7079
OSTEAL MEDICAL,66,3,0,3,342
NordiMED ApS,45,1,1,0,0
Genzyme,84,36,12,24,4905
Genzyme,71,28,3,25,3495
Genzyme,56,34,9,25,13550
Genzyme,14,42,18,24,15884
Genzyme,81,32,10,22,5108
Genzyme,60,10,5,5,1560
Genzyme,36,11,2,9,884
Genzyme,77,58,7,51,5520
Genzyme,38,237,65,172,26642
Genzyme,06,172,66,106,52641
Genzyme,74,79,14,65,6347
Genzyme,82,19,8,11,1880
Genzyme,75,360,189,171,92277
Genzyme,11,1,0,1,30
Genzyme,94,53,20,33,13281
Genzyme,83,146,50,96,19994
Genzyme,68,91,31,60,13997
Genzyme,07,21,8,13,2516
Genzyme,79,2,1,1,1604
Genzyme,58,4,2,2,2603
Genzyme,73,13,4,9,3442
Genzyme,61,4,2,2,1631
Genzyme,34,115,39,76,14479
Genzyme,18,9,2,7,2688
Genzyme,40,25,2,23,3151
Genzyme,80,32,8,24,24294
Genzyme,93,47,13,34,10596
Genzyme,91,29,9,20,11709
Genzyme,54,87,28,59,24085
