node1,node2,weight
OSTEOMED,Zimmer,1
OSTEOMED,SANOFI,1
medi,MUNDIPHARMA,8
medi,RESEARCH NOW,1
medi,EFFIK,6
medi,BARD,4
medi,ABBVIE,1
medi,CCD,2
medi,Lilly,14
medi,BOIRON,11
medi,SAMSUNG ELECTRONICS,1
medi,Axess Research,2
medi,LUNDBECK,6
medi,CONGRES COLLOQUES CONVENTIONS,1
medi,JULIUS ZORN GMBH,6
medi,ITEC SERVICES,1
medi,VASCUTEK,3
medi,MAYOLY SPINDLER,2
medi,NOVO NORDISK,4
medi,SANDOZ,2
medi,DJO,12
medi,COLOPLAST,4
medi,ICOMED,32
medi,PFIZER,14
medi,RADIANTE,7
medi,RECORDATI,21
medi,Lohmann & Rauscher,2
medi,ARKOPHARMA,8
medi,PIERRE FABRE,27
medi,THERABEL LUCIEN PHARMA,6
medi,CEPHALON,1
medi,Bayer HealthCare,24
medi,Theramex SAM,7
medi,ROTTAPHARM,5
medi,BSN-RADIANTE,10
medi,ST JUDE MEDICAL,1
medi,URGO,15
medi,SPIRIG,1
medi,FH ORTHOPEDICS,1
medi,ASTRAZENECA,22
medi,3M,2
medi,NIGY,1
medi,DINNO SANTE,1
medi,ALLERGAN,2
medi,EDWARDS LIFESCIENCES,1
medi,SANOFI,45
medi,MERCK SERONO,3
medi,MEDA PHARMA,2
medi,ASTELLAS PHARMA,1
medi,ZAMBON,3
medi,GLAXOSMITHKLINE,48
medi,BOEHRINGER INGELHEIM,17
medi,Cook,2
medi,SM EUROPE,1
medi,OXYPHARM,3
medi,GUERBET,1
medi,EXPANSCIENCE,5
medi,ABBOTT,4
medi,XNOV,1
medi,DENSMORE,1
medi,ETHICON,1
medi,OMEGA PHARMA,13
medi,PHADIA,1
medi,COSMETIQUE ACTIVE,3
medi,LOL PHARMA,1
medi,ASPEN,7
medi,BIOGARAN,11
medi,EFFICARE,1
medi,SERVIER,27
medi,LASER,1
medi,BRISTOL-MYERS SQUIBB,22
medi,ROCHE DIAGNOSTICS,2
medi,AMERICAN MEDICAL SYSTEMS,1
medi,MOLNLYCKE HEALTH CARE,2
medi,ABBOTT PRODUCTS,1
medi,CENTRALE DES PEELINGS,1
medi,CHIESI,2
medi,LABCATAL,1
medi,TAKEDA,8
medi,Smith & Nephew,10
medi,CONVATEC,3
medi,IMPLANTS SERVICE ORTHOPEDIE,1
medi,SIGVARIS,18
medi,PHARMA DOM,1
medi,IPSEN,23
medi,GRUNENTHAL,4
medi,FOURNITURES HOSPITALIERES,1
medi,THUASNE,8
medi,TORNIER,1
medi,IPRAD PHARMA,7
medi,TERUMO S.A,1
medi,GIBAUD,6
medi,GAMIDA,1
medi,BIOMET,1
medi,BAUERFEIND,1
medi,NOVARTIS PHARMA,18
medi,OptiMed,1
medi,TEVA PHARMA,28
medi,COVIDIEN,3
medi,SANOFI PASTEUR,9
medi,JANSSEN CILAG,8
medi,SCIENCE ET MEDEDINE,1
medi,PAUL HARTMANN,3
medi,ARROW GENERIQUES,2
medi,INNOTHERA,11
medi,ICTA PM,1
medi,B.BRAUN,3
medi,MSD,34
medi,MYLAN,12
medi,BIOCODEX,8
medi,BAYER,9
medi,FERRING,2
medi,W L GORE & ASSOCIES,1
medi,DEPUY,1
medi,MAQUET,5
medi,BESINS,4
medi,INTEGRAL ORTHO,1
medi,MEDTRONIC,2
medi,GEDEON RICHTER,6
medi,BIOPROJET,1
medi,FLORALIS,1
medi,DAIICHI SANKYO,15
medi,INTUITIVE SURGICAL,1
medi,A A,7
medi,IPSEN PHARMA,2
medi,LEO PHARMA,27
medi,ACTELION,2
medi,MENARINI,4
NEOSTEO,ARTHREX,1
NEOSTEO,RADIANTE,1
NEOSTEO,NOVASTEP,1
NEOSTEO,SYNTHES,1
NEOSTEO,TORNIER,1
NEOSTEO,Stryker Leibinger,1
NEOSTEO,GRUNENTHAL,1
NEOSTEO,Smith & Nephew,1
NEOSTEO,LEO PHARMA,1
NEOSTEO,Small Bone Innovations,1
NEOSTEO,EVALYS,1
NEOSTEO,STRYKER,1
NEOSTEO,SANOFI,1
NEOSTEO,ASTON MEDICAL,1
B. Braun Avitum,TAKEDA,10
B. Braun Avitum,SERVIER,23
B. Braun Avitum,FRESENIUS MEDICAL CARE,97
B. Braun Avitum,LFB BIOTECHNOLOGIES,2
B. Braun Avitum,SANDOZ,1
B. Braun Avitum,GIE DIALYSE SERVICES,7
B. Braun Avitum,RESEARCH NOW,3
B. Braun Avitum,CSL BEHRING,1
B. Braun Avitum,MEDEXACT,2
B. Braun Avitum,ASTRAZENECA,13
B. Braun Avitum,BARD,4
B. Braun Avitum,BIOTRONIK,1
B. Braun Avitum,B.BRAUN,3
B. Braun Avitum,CONVATEC,1
B. Braun Avitum,HOSPAL,28
B. Braun Avitum,SANOFI,34
B. Braun Avitum,Otsuka  Pharmaceutical,2
B. Braun Avitum,RAPTOR PHARMACEUTICALS,1
B. Braun Avitum,ABBVIE,5
B. Braun Avitum,Lilly,6
B. Braun Avitum,SHIRE,38
B. Braun Avitum,ASTELLAS PHARMA,7
B. Braun Avitum,MSD,32
B. Braun Avitum,GILEAD SCIENCES,1
B. Braun Avitum,GAMBRO HOSPAL,21
B. Braun Avitum,IPSEN,4
B. Braun Avitum,ZAMBON,2
B. Braun Avitum,GLAXOSMITHKLINE,7
B. Braun Avitum,BOEHRINGER INGELHEIM,29
B. Braun Avitum,VIVACTIS M2RESEARCH,1
B. Braun Avitum,Cook,1
B. Braun Avitum,VIFOR,4
